gene	label	family	pLI	LOEUF	mis_z	paralog_count
RLBP1	LOF	PF00650	1.0689e-06	0.954	0.01579	3
RNF13	GOF	PF02225	0.58532	0.813	0.65081	9
ROR2	LOF	PF01392	0.3497	0.543	1.2805	71
RORA	LOF	PF00104	1.0	0.207	2.3246	18
RP1	LOF	PF03607	7.8806e-07	1.447	0.35131	3
RP1L1	LOF	PF03607	3.1979e-13	1.944	-10.89	1
RP2	LOF	PF07986				0
RPE65	LOF	PF03055	2.7238e-16	0.998	0.29164	2
RPGR	LOF	PF25390				9
RPIA	LOF	PF06026	3.0875e-07	1.019	0.15543	0
RPS17	LOF	PF00833	0.99969	0.17	3.1938	0
RPS19	LOF	PF01090	0.99966	0.239	2.3157	0
RPS24	LOF	PF01282	0.99945	0.182	1.6762	0
RPS26	LOF	PF01283	0.99588	0.32	2.7399	0
RPS6KA3	LOF	PF00069				7
RRAS2	GOF	PF00071	0.031055	1.246	0.74888	35
RRM2B	LOF	PF00268	0.27091	0.688	1.1926	1
RS1	LOF	PF00754				1
RSPH1	LOF	PF02493	0.0046663	0.81	-0.070045	7
RSPO4	LOF	PF15913	1.6255e-08	1.327	-0.77282	3
RSPRY1	LOF	PF00622	0.99768	0.445	3.0301	1
RTEL1	LOF	PF23109	1.271e-13	0.661	-1.5797	3
RUNX2	LOF	PF00853	0.99998	0.352	1.7904	2
RXYLT1	LOF	PF24785	2.146e-12	1.09	0.29672	0
RYR1	LOF	PF08709	2.293e-56	0.644	4.0067	5
RYR2	GOF	PF13499	1.0	0.424	6.4389	5
SALL4	LOF	PF00096	1.0	0.184	2.7099	14
SAMD9	GOF	PF00536	0.026071	1.773	2.6855	1
SAMHD1	LOF	PF01966	2.4032e-07	0.889	1.5222	0
SATB2	LOF	PF02376	1.0	0.077	5.5263	1
SBF2	LOF	PF02141	5.3214e-09	0.591	2.2041	13
SCN10A	GOF	PF00520	7.6186e-48	1.058	0.16322	26
SCN11A	GOF	PF00520	3.9782e-18	0.834	1.8029	26
SCN1A	GOF	PF00520	1.0	0.098	7.6177	26
SCN2A	GOF	PF00520	1.0	0.161	8.7269	26
SCN3A	GOF	PF00520	1.0	0.348	6.3712	26
SCN4A	GOF	PF00520	2.0645e-10	0.628	2.2392	26
SCN5A	LOF	PF00520	1.0	0.372	4.8452	26
SCN8A	DN	PF00520	1.0	0.189	10.451	26
SCN9A	GOF	PF00520	8.0099e-23	0.855	1.2545	26
SCO2	LOF	PF02630	0.011755	1.761	-1.4378	1
SCUBE3	LOF	PF12662	1.0	0.402	3.1941	2
SCYL1	LOF	PF00069	2.4204e-28	1.158	1.0959	28
SDHA	LOF	PF00890	3.3694e-08	0.786	2.306	0
SDHB	LOF	PF13085	0.027807	0.741	0.43592	0
SDHC	LOF	PF01127	0.048191	0.892	1.5652	0
SDHD	LOF	PF05328	0.90513	0.581	0.80794	0
SEC23B	LOF	PF00626	1.5717e-18	1.008	1.252	1
SELENOI	LOF	PF01066	0.0018885	0.832	1.8533	2
SET	LOF	PF00956	0.99973	0.167	3.2081	19
SETD1A	LOF	PF11764	1.0	0.279	1.8252	19
SETD1B	LOF	PF11764	1.0	0.109	3.1658	19
SETD2	LOF	PF17907	1.0	0.176	4.1571	19
SETD5	LOF	PF00856	1.0	0.376	2.0399	1
SF3B4	LOF	PF00076	0.99997	0.259	4.1898	24
SFTPC	GOF	PF04089	0.0031214	1.0	1.0693	0
SH2D1A	LOF	PF00017				13
SHANK2	LOF	PF12796	0.99999	0.417	3.1048	2
SHANK3	LOF	PF12796	0.99995	0.428	-1.37	2
SHH	DN	PF01085	0.97518	0.493	0.50243	2
SHOC2	GOF	PF23598	1.0	0.201	3.7919	31
SHOX	LOF	PF00046				50
SIK1	GOF	PF00069				17
SIL1	LOF	PF08609	2.4121e-11	1.023	1.3969	1
SIN3A	LOF	PF02671	1.0	0.14	5.1667	1
SIX1	LOF	PF05920	0.25564	0.692	1.0287	6
SIX3	LOF	PF00046	0.99311	0.387	1.5772	6
SIX6	LOF	PF00046	0.0023883	0.921	0.62234	6
SKIC2	LOF	PF00270				8
SLC10A7	LOF	PF13593	1.9084e-05	0.966	2.0895	0
SLC12A6	LOF	PF00324	0.01086	0.621	3.127	8
SLC13A5	LOF	PF00939	0.70034	0.549	1.5418	5
SLC16A2	LOF	PF07690				13
SLC17A5	LOF	PF07690	1.1116e-09	1.065	1.1844	12
SLC19A3	LOF	PF01770	1.2033e-07	0.968	0.51867	2
SLC22A5	LOF	PF00083	8.4286e-10	0.963	0.86805	22
SLC24A4	LOF	PF01699	5.3093e-10	0.862	1.2877	4
SLC24A5	LOF	PF01699	3.6963e-12	1.162	0.82507	4
SLC25A1	LOF	PF00153	2.362e-07	1.034	0.25155	49
SLC25A13	LOF	PF00153	5.0062e-18	0.937	1.1534	49
SLC25A15	LOF	PF00153	1.026e-06	1.026	1.3292	49
SLC25A20	LOF	PF00153	4.4499e-08	1.052	1.0624	49
SLC25A26	LOF	PF00153	0.016298	1.109	-1.2033	49
SLC25A38	LOF	PF00153	8.6507e-08	1.053	1.1311	49
SLC25A46	LOF	PF00153	7.2891e-06	1.375	-0.7483	0
SLC26A2	LOF	PF01740	3.7099e-11	1.091	1.4995	9
SLC27A4	LOF	PF00501	0.00053967	0.661	1.1324	12
SLC2A1	LOF	PF00083	1.0	0.139	4.6812	13
SLC2A10	LOF	PF00083	4.779e-08	1.087	0.66325	13
SLC2A2	LOF	PF00083	5.1541e-06	0.858	1.5839	13
SLC33A1	LOF	PF13000	0.91612	0.555	2.228	1
SLC35A2	LOF	PF04142				4
SLC35C1	LOF	PF03151	0.58493	0.664	0.848	9
SLC35D1	LOF	PF03151	4.2354e-06	0.981	0.40697	9
SLC37A4	LOF	PF07690	1.945e-14	1.252	0.13179	12
SLC38A3	LOF	PF01490	0.99947	0.433	2.9003	15
SLC38A8	LOF	PF01490	2.0536e-29	1.676	-6.0508	15
SLC39A14	LOF	PF02535	0.37345	0.592	2.8811	6
SLC39A4	LOF	PF21116	7.5913e-18	1.262	-2.3602	6
SLC39A8	LOF	PF02535	0.62115	0.602	1.1838	6
SLC40A1	LOF	PF06963	0.999	0.445	2.5155	0
SLC45A2	LOF	PF07690	1.8671e-10	1.022	-0.15802	3
SLC46A1	LOF	PF07690	0.0010626	0.865	0.87996	2
SLC4A11	LOF	PF00955	9.2641e-19	0.897	1.6142	9
SLC52A2	LOF	PF06237	0.00025725	0.955	-0.37355	2
SLC52A3	LOF	PF06237	2.5009e-06	1.012	1.0335	2
SLC5A5	LOF	PF00474	1.3394e-14	1.002	0.60238	12
SLC6A1	LOF	PF00209	1.0	0.153	4.9313	19
SLC6A3	LOF	PF00209	0.99999	0.393	2.9473	19
SLC6A5	LOF	PF00209	6.4274e-09	0.757	0.25685	38
SLC6A8	LOF	PF00209				19
SLITRK6	LOF	PF13855	2.7526e-07	0.812	0.68303	25
SMAD3	LOF	PF03165	0.99998	0.373	4.3603	7
SMAD4	LOF	PF03165	1.0	0.227	4.9422	7
SMAD9	GOF	PF03165	1.5457e-09	1.018	0.83595	7
SMARCA4	LOF	PF07533	1.0	0.226	8.811	30
SMARCAL1	LOF	PF07443	5.0365e-12	0.795	1.7809	30
SMARCB1	LOF	PF21459	1.0	0.221	4.8624	0
SMARCC2	LOF	PF00249	1.0	0.167	4.8274	3
SMARCE1	LOF	PF00505	0.99994	0.318	2.7817	20
SMC1A	LOF	PF06470				7
SMCHD1	GOF	PF13589	1.0	0.342	3.9782	0
SMG8	LOF	PF10220	8.6251e-08	0.726	2.8653	0
SMOC1	LOF	PF07648	0.17366	0.6	1.0146	1
SMS	LOF	PF17284				2
SNAP25	LOF	PF00835	0.99953	0.29	3.1978	3
SNCA	GOF	PF01387	0.79673	0.691	1.1478	2
SNX14	LOF	PF08628	4.2755e-12	0.853	1.5737	3
SON	LOF	PF14709	1.0	0.051	2.5949	0
SOS1	GOF	PF00617	1.0	0.288	2.3433	24
SOX10	LOF	PF00505	0.99999	0.248	2.8852	20
SOX11	LOF	PF00505	0.08649	1.148	1.4861	20
SOX2	LOF	PF00505	0.99931	0.302	2.9769	20
SOX5	LOF	PF00505	1.0	0.204	3.8086	20
SOX6	LOF	PF00505	1.0	0.165	3.2951	20
SOX9	LOF	PF00505	1.0	0.154	1.6558	20
SPAG1	LOF	PF13877	2.1275e-11	1.084	0.55923	18
SPAST	GOF	PF00004	0.11467	0.69	0.23048	9
SPATA7	LOF	PF15244	6.0519e-09	1.22	0.44768	0
SPEN	LOF	PF20809	1.0	0.094	5.1216	7
SPG11	LOF	PF14649	2.0022e-51	0.852	-0.6997	0
SPINT2	LOF	PF00014	0.0001066	0.935	1.1142	13
SPR	LOF	PF00106	5.9067e-06	1.528	-0.70049	33
SPRED1	LOF	PF05210	0.98383	0.496	1.4209	5
SPTAN1	DN	PF13499	1.0	0.222	7.9475	36
SPTBN1	LOF	PF00307	1.0	0.159	5.9038	36
SPTBN2	DN	PF00307	0.9987	0.452	4.5181	36
SPTBN4	LOF	PF00307	1.3288e-05	0.529	0.64957	36
SRC	GOF	PF07714	0.99997	0.383	2.8596	32
SRY	LOF	PF00505				20
ST3GAL5	LOF	PF00777	0.0016954	0.736	1.4714	14
STAG1	LOF	PF24571	1.0	0.159	4.1712	3
STAG2	LOF	PF24571				2
STAT5B	LOF	PF00017	1.0	0.277	5.1347	6
STIL	LOF	PF25775	0.0050023	0.575	2.1726	0
STK11	LOF	PF00069	0.99991	0.364	1.4946	22
STRA6	LOF	PF14752	2.3028e-08	0.725	1.1287	1
STS	LOF	PF00884				16
STX1B	LOF	PF05739	0.99999	0.308	3.6087	12
STXBP1	LOF	PF00995	1.0	0.099	5.8468	7
SUFU	LOF	PF05076	1.0	0.214	3.1286	0
SURF1	LOF	PF02104	4.5412e-18	1.559	-1.3117	1
SUZ12	LOF	PF09733	1.0	0.344	4.0209	0
SYN1	LOF	PF02078				2
SYNGAP1	LOF	PF00168	1.0	0.127	7.6898	10
SYP	LOF	PF01284				3
SYT1	DN	PF00168	0.99999	0.332	4.0092	31
SYT2	DN	PF00168	0.68874	0.585	2.565	31
TAFAZZIN	LOF	PF01553				0
TAOK1	LOF	PF00069	1.0	0.216	5.9261	35
TAPT1	LOF	PF05346	0.13378	0.698	0.30244	0
TBC1D24	LOF	PF00566	8.508e-16	1.214	1.0973	0
TBCD	LOF	PF23579	2.6388e-20	0.763	0.89228	0
TBK1	DN	PF00069	0.97193	0.505	2.5679	3
TBL1XR1	LOF	PF08513	1.0	0.174	5.2951	2
TBR1	LOF	PF00907	1.0	0.246	3.0377	16
TBX18	LOF	PF00907	0.70069	0.56	-0.73569	16
TBX20	LOF	PF00907	0.9998	0.378	2.4629	16
TBX22	LOF	PF00907				16
TBX3	LOF	PF00907	0.99465	0.468	0.036562	16
TBX4	LOF	PF00907	0.99997	0.379	1.3665	16
TBX5	LOF	PF00907	1.0	0.267	1.6232	16
TCF12	LOF	PF00010	0.020297	0.609	0.31056	2
TCF20	LOF	PF13771	1.0	0.05	1.5158	1
TCF4	LOF	PF00010	1.0	0.096	4.5772	5
TCN2	LOF	PF01122	4.267e-08	0.888	-1.4942	2
TCOF1	LOF	PF03546	1.0	0.288	1.5329	0
TCTN3	LOF	PF25752	1.3321e-13	0.938	0.8676	2
TECPR2	LOF	PF23756	2.1398e-07	0.607	2.3384	1
TECTA	LOF	PF08742	1.9954e-20	0.661	2.4637	19
TEK	GOF	PF00041	1.0	0.368	2.8927	53
TERT	LOF	PF12009	0.0019285	0.593	3.0616	0
TET3	LOF	PF12851	1.0	0.213	3.5548	2
TFR2	LOF	PF02225	2.6889e-16	0.907	1.2952	5
TGDS	LOF	PF16363	1.7318e-05	1.184	0.8208	10
TGFB2	LOF	PF00019	0.99612	0.463	2.3626	31
TGFB3	LOF	PF00019	1.0	0.249	2.8651	31
TGFBR1	GOF	PF01064	0.96403	0.509	3.6549	11
TGFBR2	LOF	PF08917	0.90792	0.531	2.9468	11
TGIF1	LOF	PF05920	0.98151	0.477	1.4869	13
TGM5	LOF	PF00927	6.2413e-20	1.034	1.1937	8
THAP1	LOF	PF05485	0.90189	0.571	2.0539	7
THRA	LOF	PF00104	0.99892	0.439	4.6106	18
TIMP3	LOF	PF00965	0.46415	0.66	1.9483	3
TINF2	LOF	PF14973	0.0010977	0.688	1.3762	0
TMEM127	LOF	PF20517	1.6977e-08	1.587	0.17202	0
TMEM138	LOF	PF14935	0.22846	0.927	0.33136	0
TMEM165	LOF	PF01169	0.00011331	1.071	0.69446	0
TMEM222	LOF	PF05608	1.6996e-05	1.118	-0.41113	0
TMEM231	LOF	PF10149	2.6458e-09	1.41	-0.89711	0
TMEM260	LOF	PF11028	1.3893e-15	1.049	-0.54649	0
TMEM67	LOF	PF09773	3.1439e-18	1.079	1.1345	0
TMTC3	LOF	PF08409	1.0951e-06	0.721	2.0602	14
TNNI2	GOF	PF00992	0.010025	0.822	1.1774	2
TNNT2	DN	PF00992	0.0002824	0.683	2.1516	2
TNNT3	GOF	PF00992	2.5681e-08	0.866	1.0044	2
TNRC6B	LOF	PF10427	1.0	0.332	2.9401	5
TNXB	LOF	PF25024	7.7924e-31	0.674	3.0208	25
TOE1	LOF	PF04857	5.2565e-17	1.225	2.0223	2
TOGARAM1	LOF	PF21040	4.9374e-15	0.724	0.91768	3
TOR1A	LOF	PF21376	0.00098008	0.84	0.96185	4
TP53	LOF	PF00870	0.99798	0.449	1.1539	2
TP53RK	LOF	PF06293	1.6819e-07	1.776	-0.70958	0
TP63	LOF	PF00870	1.0	0.296	3.5197	2
TPM2	GOF	PF00261	6.6608e-06	0.87	3.3055	3
TPP2	LOF	PF00082	1.0	0.29	4.5833	9
TRAIP	LOF	PF13639	1.7835e-06	0.739	1.8702	0
TRAPPC2	LOF	PF04628				4
TRDN	LOF	PF05279	1.1258e-24	1.359	-1.0725	0
TRIM32	LOF	PF01436	0.0070294	0.73	1.7542	80
TRIO	GOF	PF13716	1.0	0.217	4.6931	22
TRIP12	LOF	PF00632	1.0	0.145	6.366	24
TRIP4	LOF	PF04266	4.2173e-10	0.802	0.45807	0
TRPA1	GOF	PF00023	2.7043e-24	1.063	1.0926	0
TRPC3	GOF	PF12796	3.4207e-09	0.751	3.1086	5
TRPM4	GOF	PF00520	1.4032e-39	1.084	-0.097407	7
TRPV3	GOF	PF00023	2.6489e-28	1.235	-0.007152	5
TRPV4	GOF	PF00023	6.1123e-13	0.824	3.5725	5
TSC1	LOF	PF04388	1.0	0.227	3.7116	0
TSC2	LOF	PF11864	1.0	0.203	0.17171	2
TSEN54	LOF	PF12928	2.7307e-19	1.258	-1.4479	0
TSHR	GOF	PF00001	7.345e-14	1.012	1.3233	2
TSPAN12	LOF	PF00335	0.14188	0.655	1.2581	32
TTC12	LOF	PF00515	2.9007e-13	0.934	0.59965	18
TTC5	LOF	PF16669	1.7933e-11	1.034	0.48848	0
TTLL5	LOF	PF03133	1.2848e-30	0.888	0.90487	12
TTN	LOF	PF00041	1.3925e-89	0.479	7.0514	0
TTR	GOF	PF00576	0.01296	1.049	1.5504	1
TUBA4A	DN	PF00091	7.9956e-06	0.945	5.0015	23
TUBB2B	DN	PF00091	0.99983	0.338	6.9742	23
TUBB4A	GOF	PF00091	0.60434	0.604	5.131	23
TUSC3	LOF	PF04756	5.0694e-15	1.31	-1.1313	1
TWIST1	LOF	PF00010	0.0067806	1.451	-0.22258	13
TWIST2	DN	PF00010	0.79374	0.714	0.22963	13
TYR	LOF	PF00264	1.1138e-21	1.346	-0.8461	2
UBE2A	LOF	PF00179				24
UBE3A	LOF	PF16558	1.0	0.139	6.9548	24
UBE3B	LOF	PF00632	6.4844e-11	0.675	2.1522	24
UGT1A1	LOF	PF00201	1.8823e-09	1.04	0.1863	21
UMOD	DN	PF23283	9.1231e-23	1.241	0.49359	5
UPF3B	LOF	PF03467				1
USH2A	LOF	PF00053	2.7327e-115	0.855	0.11215	27
USP27X	LOF	PF00443				71
USP45	LOF	PF00443	3.5556e-16	1.09	0.70067	71
USP7	LOF	PF22486	1.0	0.085	6.8707	71
USP9X	LOF	PF25010				71
UVSSA	LOF	PF09740	2.9612e-25	1.214	-1.8844	0
VAMP2	DN	PF00957	0.99957	0.176	1.7472	10
VAPB	DN	PF00635	0.52375	0.699	0.69832	1
VHL	LOF	PF01847	0.0019543	0.987	-1.1373	1
VIPAS39	LOF	PF04840	3.0665e-15	0.87	1.9934	0
VLDLR	LOF	PF07645	6.079e-18	0.828	-0.99818	14
VMA12	LOF	PF11712				0
VMA22	LOF	PF21730				0
VPS33B	LOF	PF00995	3.587e-22	0.971	1.0991	7
VPS4A	DN	PF00004	0.3968	0.585	2.2323	9
VPS53	LOF	PF16854	1.0426e-13	0.773	1.8529	0
VSX2	LOF	PF00046	4.2463e-10	1.35	-1.2474	50
WASHC5	LOF	PF10266	5.0212e-14	0.792	2.5246	0
WDFY3	LOF	PF23295	1.0	0.2	7.7015	7
WDR11	LOF	PF23751	5.057e-08	0.617	2.3248	2
WDR19	LOF	PF23389	2.365e-23	0.833	1.2659	0
WDR35	LOF	PF23390	1.4176e-21	0.776	2.0052	5
WDR45	LOF	PF21032				3
WDR62	LOF	PF24780	1.0718e-25	0.806	1.767	26
WFS1	LOF	PF20053	1.7214e-39	1.64	-5.7089	0
WNK4	DN	PF24889	4.1738e-25	0.929	1.3811	6
WNT1	LOF	PF00110	0.0027318	0.957	0.33644	18
WNT10B	LOF	PF00110	8.2304e-08	1.097	1.0486	18
WNT7A	LOF	PF00110	0.0030533	0.807	1.6623	18
WRAP53	LOF	PF00400	0.0034137	0.645	1.1249	0
XPC	LOF	PF10403	1.2517e-20	1.023	0.46534	0
XPR1	DN	PF03124	0.99989	0.43	4.1397	0
XYLT2	LOF	PF02485	2.0234e-05	0.689	2.0684	8
YAP1	LOF	PF15238	1.0	0.212	1.3479	1
YRDC	LOF	PF01300	1.8417e-06	1.259	-1.219	0
YWHAG	GOF	PF00244	0.99994	0.204	3.8194	6
ZBTB11	LOF	PF00651	1.1535e-12	0.746	2.1183	38
ZBTB20	DN	PF00651	1.0	0.3	3.9575	36
ZC4H2	LOF	PF10146				0
ZDHHC9	LOF	PF01529				17
ZEB1	LOF	PF00096	1.0	0.339	2.8421	1
ZEB2	LOF	PF00096	1.0	0.114	5.6355	1
ZFYVE19	LOF	PF22586	2.1171e-14	1.029	-0.60345	13
ZFYVE26	LOF	PF01363	1.8546e-34	0.704	2.8433	13
ZIC1	GOF	PF00096	0.99991	0.306	2.8961	14
ZIC2	LOF	PF00096	0.96497	0.52	0.46995	14
ZIC3	LOF	PF00096				14
ZMIZ1	LOF	PF25527	1.0	0.22	4.147	5
ZMYND10	LOF	PF01753	1.0961e-14	1.008	1.9365	2
ZMYND11	LOF	PF00439	1.0	0.166	4.7337	5
ZNF148	LOF	PF00096	1.0	0.208	4.5888	36
ZNF335	LOF	PF00096	2.0988e-15	0.718	-0.54217	1
ZNF408	DN	PF21549	1.6457e-07	1.146	0.87539	51
ZNF469	LOF	PF00096	0.26375	1.711	-4.0028	0
